Fecha,Kms,Tipo_combustible,Precio_lt,Dto_gov,Dto_fidelidad,Litros,Est._servicio,Total,Total_dtos
2022-01-17,36.0,17,0.799,0.0,0.0,33.03,Cepsa,26.390970000000003,26.390970000000003
2022-01-17,36.0,1,1.43,0.0,0.0,7.0,Cepsa,10.01,10.01
2022-01-21,505.0,17,0.799,0.0,0.0,29.55,Shell,23.61045,23.61045
2022-01-22,545.0,1,1.439,0.0,0.0,17.37,Petroprix,24.995430000000002,24.995430000000002
2022-01-22,851.0,17,0.84,0.0,0.0,34.04,Shell,28.5936,28.5936
2022-01-24,1238.0,17,0.909,0.0,0.0,31.58,Repsol,28.70622,28.70622
2022-01-25,1718.0,17,0.799,0.0,0.0,38.04,Shell,30.39396,30.39396
2022-01-26,2139.0,17,0.839,0.0,0.0,34.52,Repsol,28.96228,28.96228
2022-02-02,2702.0,17,0.799,0.0,0.0,36.32,Cepsa,29.01968,29.01968
2022-02-09,3256.0,17,0.799,0.0,0.0,41.13,Cepsa,32.86287,32.86287
2022-02-16,3811.0,17,0.849,0.0,0.0,37.55,Galp,31.879949999999997,31.879949999999997
2022-02-24,4385.0,17,0.799,0.0,0.0,40.14,Cepsa,32.07186,32.07186
2022-03-01,4850.0,17,0.799,0.0,0.0,35.73,Cepsa,28.54827,28.54827
2022-03-08,5367.0,17,0.799,0.0,0.0,36.68,Cepsa,29.30732,29.30732
2022-03-13,5895.0,17,0.849,0.0,0.0,37.44,Cepsa,31.786559999999998,31.786559999999998
2022-03-20,6222.0,17,0.839,0.0,0.0,22.73,Cepsa,19.07047,19.07047
2022-03-28,6701.0,17,0.899,0.0,0.0,34.54,Cepsa,31.05146,31.05146
2022-04-03,7174.0,17,0.899,0.2,0.0,35.44,Cepsa,31.86056,24.772560000000002
2022-04-09,7626.0,17,0.899,0.2,0.05,39.6,Cepsa,35.6004,25.700400000000002
2022-04-13,7999.0,17,0.899,0.2,0.05,22.59,Cepsa,20.308410000000002,14.660910000000001
2022-04-14,8473.0,17,0.939,0.2,0.0,34.72,otra,32.602079999999994,25.658079999999995
2022-04-17,8911.0,17,0.909,0.2,0.0,43.98,otra,39.97782,31.181820000000002
2022-04-21,9500.0,17,0.899,0.2,0.1,37.01,Cepsa,33.27199,22.16899
2022-05-02,9871.0,17,0.899,0.2,0.1,30.39,Cepsa,27.320610000000002,18.203610000000005
2022-05-04,10231.0,17,1.019,0.2,0.05,28.46,Repsol,29.000739999999997,21.88574
2022-05-05,10653.0,17,0.899,0.2,0.097,36.83,Cepsa,33.11017,22.171660000000003
2022-05-11,11125.0,17,0.899,0.2,0.095,39.18,Cepsa,35.22282,23.664720000000003
2022-05-18,11471.0,17,0.939,0.2,0.0,29.06,Shell,27.287339999999997,21.475339999999996
2022-05-24,11877.0,17,0.899,0.2,0.1,31.15,Cepsa,28.00385,18.65885
2022-05-31,12330.0,17,0.899,0.2,0.1,32.26,Cepsa,29.001739999999998,19.32374
